license,name,state,address,cdpostal,Municipi,Comarca
HUTB-006573,Sense especificar,Alta,Carrer Olivera 45,8004,Barcelona,Barcelonès
HUTB-006585,Sense especificar,Alta,Carrer de Calàbria 199,8029,Barcelona,Barcelonès
HUTB-006586,Sense especificar,Alta,Gran Via CORTS CATALANES 472,8015,Barcelona,Barcelonès
HUTB-006593,Sense especificar,Alta,Carrer Calabria 228,8029,Barcelona,Barcelonès
HUTB-006594,Sense especificar,Alta,Carrer Casanova 136,8036,Barcelona,Barcelonès
HUTB-006597,AB Passeig de Gràcia Plaça Catalunya II,Alta,Carrer GRAN VIA DE LES CORTS CATALANES 634,8010,Barcelona,Barcelonès
HUTB-006599,Sense especificar,Alta,Carrer Ausias March 65,8010,Barcelona,Barcelonès
HUTB-006600,Sense especificar,Alta,Carrer Remei 2,8014,Barcelona,Barcelonès
HUTB-006601,Sense especificar,Alta,Carrer Gran Via Corts Catalanes 263,8014,Barcelona,Barcelonès
HUTB-006602,Sense especificar,Alta,Plaça Santa Madrona 6,8004,Barcelona,Barcelonès
HUTB-006603,Sense especificar,Alta,Passatge de Nogués 61,8025,Barcelona,Barcelonès
HUTB-006604,Sense especificar,Alta,Carrer Industria 87,8025,Barcelona,Barcelonès
HUTB-006618,Sense especificar,Alta,Carrer Tamarit 90,8015,Barcelona,Barcelonès
HUTB-006619,Sense especificar,Alta,Carrer CA L'ALEGRE DE DALT 18,8024,Barcelona,Barcelonès
HUTB-006620,Sense especificar,Alta,Carrer ROGENT 28,8026,Barcelona,Barcelonès
HUTB-006621,APARTAMENTO TURISTICO PARC GUELL,Alta,Carrer de la Mare de Déu dels Reis 8,8023,Barcelona,Barcelonès
HUTB-006622,Sense especificar,Alta,Carrer Blasco de Garay 3,8004,Barcelona,Barcelonès
HUTB-006624,GRAN VIA CORTS CATALANES 555 - 1,Alta,Gran Via de les Corts Catalanes 555,8011,Barcelona,Barcelonès
HUTB-006625,Sense especificar,Alta,Carrer Arago 34,8015,Barcelona,Barcelonès
HUTB-006627,Sense especificar,Alta,Carrer Tirso 43,8023,Barcelona,Barcelonès
HUTB-006630,Sense especificar,Alta,Carrer Ca l'Alegre de Dalt 18,8024,Barcelona,Barcelonès
HUTB-006631,Sense especificar,Alta,Avinguda Icaria 151,8005,Barcelona,Barcelonès
HUTB-006632,Sense especificar,Alta,Carrer RECTOR TRIADO 14,8014,Barcelona,Barcelonès
HUTB-006633,Sense especificar,Alta,Carrer Rossello 20,8029,Barcelona,Barcelonès
HUTB-006634,Sense especificar,Alta,Carrer Calabria 104,8015,Barcelona,Barcelonès
HUTB-006635,Sense especificar,Alta,Carrer Corsega 77,8029,Barcelona,Barcelonès
HUTB-006636,Sense especificar,Alta,Carrer Aribau 138,8036,Barcelona,Barcelonès
HUTB-006637,Sense especificar,Alta,Carrer Arago 284,8007,Barcelona,Barcelonès
HUTB-006639,Sense especificar,Alta,Carrer Cartagena 264,8025,Barcelona,Barcelonès
HUTB-006640,Sense especificar,Alta,Carrer Comte Urgell 214,8036,Barcelona,Barcelonès
HUTB-006641,Sense especificar,Alta,Carrer SANT PERE MARTIR 46,8012,Barcelona,Barcelonès
HUTB-006642,Sense especificar,Alta,Carrer Tubella 24,8014,Barcelona,Barcelonès
HUTB-006644,Sense especificar,Alta,Carrer Casanova 16-12,8011,Barcelona,Barcelonès
HUTB-006662,Sense especificar,Alta,Carrer Paris 204,8008,Barcelona,Barcelonès
HUTB-006663,Sense especificar,Alta,Carrer Corsega 559,8025,Barcelona,Barcelonès
HUTB-006664,Sense especificar,Alta,Carrer Sant Antoni Maria Claret 103,8025,Barcelona,Barcelonès
HUTB-006713,Sense especificar,Alta,Carrer Aragó 116,8015,Barcelona,Barcelonès
HUTB-006721,Sense especificar,Alta,Ronda SANT PERE 11,8010,Barcelona,Barcelonès
HUTB-006726,Sense especificar,Alta,Carrer SARDENYA 43,8005,Barcelona,Barcelonès
HUTB-006728,Sense especificar,Alta,Carrer RIERA DE SANT MIQUEL 29,8006,Barcelona,Barcelonès
HUTB-006729,Sense especificar,Alta,Carrer Riera Sant Miquel 29,8006,Barcelona,Barcelonès
HUTB-006730,Sense especificar,Alta,Carrer Arago 240,8007,Barcelona,Barcelonès
HUTB-006732,Sense especificar,Alta,Avinguda Diagonal 160,8018,Barcelona,Barcelonès
HUTB-006733,Sense especificar,Alta,Carrer Lleida 5,8004,Barcelona,Barcelonès
HUTB-006735,Sense especificar,Alta,Carrer Palou 23,8023,Barcelona,Barcelonès
HUTB-006736,Sense especificar,Alta,Carrer PAMPLONA 59,8005,Barcelona,Barcelonès
HUTB-006743,Sense especificar,Alta,Ronda Sant Pere 11,8010,Barcelona,Barcelonès
HUTB-006745,Sense especificar,Alta,Carrer Arago 604,8018,Barcelona,Barcelonès
HUTB-006750,Sense especificar,Alta,Carrer FARELL 17,8014,Barcelona,Barcelonès
HUTB-006753,Sense especificar,Alta,Carrer Providència 46,8024,Barcelona,Barcelonès
HUTB-006754,Sense especificar,Alta,Carrer Fraternitat 26,8012,Barcelona,Barcelonès
HUTB-006755,Sense especificar,Alta,Passatge Font 11,8013,Barcelona,Barcelonès
HUTB-006756,Sense especificar,Alta,Carrer Roger de Flor 65,8013,Barcelona,Barcelonès
HUTB-006757,Sense especificar,Alta,Carrer Consell de Cent 366,8009,Barcelona,Barcelonès
HUTB-006759,Sense especificar,Alta,Carrer Rosselló 430,8025,Barcelona,Barcelonès
