date,price,city
Febrero 2007,.,valencia
Enero 2007,.,valencia
Diciembre 2006,.,valencia
Noviembre 2006,.,valencia
Octubre 2006,.,valencia
Septiembre 2006,.,valencia
Agosto 2006,.,valencia
Julio 2006,.,valencia
Junio 2006,.,valencia
Mayo 2006,.,valencia
Abril 2006,.,valencia
Marzo 2006,.,valencia
Febrero 2006,.,valencia
Enero 2006,.,valencia
Marzo 2025,23.5,barcelona
Febrero 2025,23.7,barcelona
Enero 2025,23.6,barcelona
Diciembre 2024,23.4,barcelona
Noviembre 2024,23.2,barcelona
Octubre 2024,23.1,barcelona
Septiembre 2024,22.4,barcelona
Agosto 2024,21.6,barcelona
Julio 2024,21.6,barcelona
Junio 2024,22.1,barcelona
Mayo 2024,21.6,barcelona
Abril 2024,21.1,barcelona
Marzo 2024,20.7,barcelona
Febrero 2024,20.8,barcelona
Enero 2024,20.8,barcelona
Diciembre 2023,20.5,barcelona
Noviembre 2023,20.3,barcelona
Octubre 2023,20.4,barcelona
Septiembre 2023,20.0,barcelona
Agosto 2023,19.4,barcelona
Julio 2023,18.9,barcelona
Junio 2023,18.7,barcelona
Mayo 2023,18.6,barcelona
Abril 2023,18.6,barcelona
Marzo 2023,18.4,barcelona
Febrero 2023,18.6,barcelona
Enero 2023,18.6,barcelona
Diciembre 2022,18.3,barcelona
Noviembre 2022,17.7,barcelona
Octubre 2022,17.4,barcelona
Septiembre 2022,16.9,barcelona
Agosto 2022,16.7,barcelona
Julio 2022,16.5,barcelona
Junio 2022,16.2,barcelona
Mayo 2022,16.0,barcelona
Abril 2022,15.6,barcelona
Marzo 2022,15.5,barcelona
Febrero 2022,15.4,barcelona
Enero 2022,15.0,barcelona
Diciembre 2021,14.7,barcelona
Noviembre 2021,14.5,barcelona
Octubre 2021,14.5,barcelona
Septiembre 2021,14.4,barcelona
Agosto 2021,14.2,barcelona
Julio 2021,14.2,barcelona
Junio 2021,14.2,barcelona
Mayo 2021,14.2,barcelona
Abril 2021,14.2,barcelona
Marzo 2021,14.2,barcelona
Febrero 2021,14.3,barcelona
Enero 2021,14.4,barcelona
Diciembre 2020,14.6,barcelona
Noviembre 2020,15.0,barcelona
Octubre 2020,15.3,barcelona
Septiembre 2020,15.5,barcelona
Agosto 2020,15.7,barcelona
Julio 2020,16.0,barcelona
Junio 2020,16.4,barcelona
Mayo 2020,16.9,barcelona
Abril 2020,16.6,barcelona
Marzo 2020,16.5,barcelona
Febrero 2020,16.4,barcelona
Enero 2020,16.2,barcelona
Diciembre 2019,16.0,barcelona
Noviembre 2019,16.2,barcelona
Octubre 2019,16.4,barcelona
Septiembre 2019,16.3,barcelona
Agosto 2019,16.1,barcelona
Julio 2019,16.2,barcelona
Junio 2019,16.3,barcelona
Mayo 2019,16.2,barcelona
Abril 2019,16.2,barcelona
Marzo 2019,16.1,barcelona
Febrero 2019,16.2,barcelona
Enero 2019,16.2,barcelona
Diciembre 2018,16.1,barcelona
Noviembre 2018,16.2,barcelona
Octubre 2018,16.2,barcelona
Septiembre 2018,16.1,barcelona
Agosto 2018,16.0,barcelona
Julio 2018,16.1,barcelona
Junio 2018,16.2,barcelona
Mayo 2018,16.3,barcelona
Abril 2018,16.4,barcelona
Marzo 2018,16.4,barcelona
Febrero 2018,16.3,barcelona
Enero 2018,16.2,barcelona
Diciembre 2017,16.3,barcelona
Noviembre 2017,16.3,barcelona
Octubre 2017,16.4,barcelona
