license,name,address,cdpostal,localidad
VT-2706,"CONDE DE MIRANDA, 4",PLAZA del Conde de Miranda 1,28005.0,Madrid
VT-2707,"CONDE DE MIRANDA, 1, 1º DCHA. F",PLAZA del Conde de Miranda 1,28005.0,Madrid
VT-2708,"CONDE DE MIRANDA, 1, 1º DCHA. J",PLAZA del Conde de Miranda 1,28005.0,Madrid
VT-2709,"CONDE DE MIRANDA, 1, 3º IZQ. C",PLAZA del Conde de Miranda 1,28005.0,Madrid
VT-2710,FRAY CEFERINO GONZALEZ 1,CALLE de Fray Ceferino González 7,28005.0,Madrid
VT-2712,YOGI SONGS 3,CALLE de San Quintín 6,28013.0,Madrid
VT-2716,SAN BERNARDO 24,CALLE de San Bernardo 24,,Madrid
VT-2718,SANTA ISABEL 12 1D,CALLE de Santa Isabel 12,28012.0,Madrid
VT-2719,CARLOS ARNICHES 28,CALLE de Carlos Arniches 28,28005.0,Madrid
VT-2720,"ARANJUEZ, 19",CALLE de Aranjuez 19,28039.0,Madrid
VT-2721,APARTAMENTO MAURICIO LEGENDRE,CALLE de Mauricio Legendre 16,28046.0,Madrid
VT-2722,LA CASA DE LA LUNA,CALLE de la Luna 11,28004.0,Madrid
VT-2723,"NUREMBERG, 15, BAJO D",CALLE de Nuremberg 15,28032.0,Madrid
VT-2724,"SAN VICENTE FERRER, 28 2º B",CALLE de San Vicente Ferrer 28,,Madrid
VT-2725,SANTA ISABEL 12 4C,CALLE de Santa Isabel 12,28012.0,Madrid
VT-3065,"RIBERA DE CURTIDORES, 2, 5º, 13",CALLE de la Ribera de Curtidores 2,28005.0,Madrid
VT-3066,"RIBERA DE CURTIDORES, 2, 5º, 14",CALLE de la Ribera de Curtidores 2,28005.0,Madrid
VT-3067,"ALBERTO BOSCH, 14, SÓTANO C DCHA.",CALLE de Alberto Bosch 14,28014.0,Madrid
VT-3071,PORVENIR 6,CALLE del Porvenir 6,28028.0,Madrid
VT-3072,"IBIZA, 17",CALLE de Ibiza 17,28009.0,Madrid
